country,countryname,party,abbrev,name,name_english,year_min,year_max,is_alliance,max_pervote,max_presvote
14,"Finland",14520,"KD","Suomen Kristillisdemokraatit","Christian Democrats in Finland",1970,2019,0,5.3369999,
14,"Finland",14620,"KK","Kansallinen Kokoomus","National Coalition",1945,2019,0,23.132,
14,"Finland",14810,"KESK","Keskustapuolue","Centre Party",1945,2019,0,24.825001,
14,"Finland",14820,"PS","Perussuomalaiset","True Finns",1966,2019,0,19.052999,
14,"Finland",14901,"RKP/SFP","Ruotsalainen Kansanpuolue/Svenska Folkpartiet","Swedish Peopleâ€™s Party",1945,2019,0,8.3780003,
15,"Iceland",15111,"VGF","Vinstrihreyfing - GrÃ¦nt FramboÃ°","Left Green Movement",1999,2017,0,21.68,
15,"Iceland",15220,"Ab","AlÃ¾Ã½Ã°ubandalagiÃ°","Peopleâ€™s Alliance",1946,1995,0,22.872999,
15,"Iceland",15320,"A","AlÃ¾Ã½Ã°uflokkurinn","Social Democratic Party",1946,1995,0,22.021999,
15,"Iceland",15321,"BJ","Bandalag JafnaÃ°armanna","Social Democratic Federation",1983,1983,0,7.552,
15,"Iceland",15322,"SFVM","SamtÃ¶k FrjÃ¡lslyndra og Vinstri Manna","Union of Liberals and Leftists",1967,1974,0,8.9139996,
15,"Iceland",15323,"TfFf","ÃžjÃ³Ã°vaki - Hreyfing FÃ³lksins","Awakening of the Nation",1995,1995,0,7.1500001,
15,"Iceland",15328,"S","Samfylkingin","The Alliance",1999,2017,1,30.955,
15,"Iceland",15420,"FF","FrjÃ¡lslyndi Flokkurinn","Liberal Party",1999,2007,0,7.3829999,
15,"Iceland",15430,"B","Borgarahreyfingin","Citizens' Movement",2009,2009,0,7.2220001,
15,"Iceland",15440,"Bf","BjÃ¶rt framtiÃ°","Bright Future",2013,2017,0,8.2449999,
15,"Iceland",15450,"","ViÃ°reisn","Reform Party",2016,2017,0,10.477,
15,"Iceland",15620,"Sj","SjÃ¡lfstÃ¦Ã°isflokkurinn","Independence Party",1946,2017,0,42.735001,
15,"Iceland",15621,"Bf","Borgaraflokkurinn","Citizensâ€™ Party",1987,1987,0,10.862,
15,"Iceland",15630,"","MiÃ°flokkurinn","Centre Party",2017,2017,0,10.872,
15,"Iceland",15710,"Tf","Ã¾jodvarnarflokkurinn","National Preservation Party",1953,1953,0,6.0289998,
15,"Iceland",15810,"F","FramsÃ³knarflokkurinn","Progressive Party",1946,2017,0,28.222,
15,"Iceland",15951,"Kv","SamtÃ¶k um Kvennalista","Womenâ€™s Alliance",1983,1995,0,10.13,
15,"Iceland",15952,"Ãž","PÃ­rataflokkurinn","Pirate Party",2013,2017,0,14.483,
15,"Iceland",15953,"","Flokkur fÃ³lksins","Peopleâ€™s Party",2017,2017,0,6.8800001,
21,"Belgium",21111,"ECOLO","Ã‰cologistes ConfÃ©dÃ©rÃ©s pour lâ€™Organisation de Luttes Originales","Ecologists",1981,2010,0,7.3590002,
21,"Belgium",21112,"groen!","Groen!","Green!",1981,2019,0,6.9910002,
21,"Belgium",21221,"sp.a-SPIRIT","Socialistische Partij Anders - Spirit","Socialist Party Different - Spirit",2003,2007,0,14.908,
21,"Belgium",21230,"PTB/PVDA","Partij van de Arbeid van BelgiÃ«/Parti du Travail de Belgique","Workers' Party of Belgium",2014,2019,0,8.6219997,
21,"Belgium",21320,"BSP/PSB","Belgische Socialistische Partij/Parti Socialiste Belge","Belgian Socialist Party",1946,1977,0,38.990002,
21,"Belgium",21321,"sp.a","Socialistische Partij Anders","Socialist Party Different",1978,2019,0,14.883,
21,"Belgium",21322,"PS","Parti Socialiste","Francophone Socialist Party",1978,2014,0,15.655,
21,"Belgium",21330,"SPIRIT","Sociaal, Progressief, International, Regionalistisch, Integraal-democratisch en Toekomstgericht","Social, Progressive, International, Regionalist, Integrally Democartic  and Forward-Looking",2007,2007,0,,
21,"Belgium",21420,"PVV/PLP","Partij voor Vrijheid en Vooruitgang/Parti de la LibertÃ© et du ProgrÃ¨s","Party of Liberty and Progress",1946,1968,0,21.615,
21,"Belgium",21421,"VLD","Vlaamse Liberalen en Demokraten","Flemish Liberals and Democrats",1971,2019,0,15.356,
21,"Belgium",21422,"PRL","Parti RÃ©formateur LibÃ©ral","Liberal Reformation Party",1971,1991,0,10.214,
21,"Belgium",21423,"PRL-FDF","Parti RÃ©formateur LibÃ©ral - Front DÃ©mocratique des Francophones","Liberal Reformation Party - Francophone Democratic Front",1995,1995,0,10.264,
21,"Belgium",21424,"PLDP","Parti LibÃ©ral DÃ©mocratique et Pluraliste","Liberal Democratic and Pluralist Party",1971,1978,0,1.3099999,
21,"Belgium",21425,"PRL-FDF-MCC","Parti rÃ©formateur libÃ©ral - Front DÃ©mocratique des Francophones - Mouvement des Citoyens pour la Changement","Liberal Reformation Party - Francophone Democratic Front - Citizensâ€™ Movement for Change",1999,1999,1,10.14,
21,"Belgium",21426,"MR","Mouvement RÃ©formateur","Reform Movement",2003,2014,1,12.517,
21,"Belgium",21430,"LDD","Lijst Dedecker","List Dedecker",2007,2010,0,4.027,
21,"Belgium",21520,"PSC/CVP","Parti Social ChrÃ©tien/Christelijke Volkspartij","Francophone Christian Social Party and Flemish Christian Peopleâ€™s Party",1946,1965,0,47.678001,
21,"Belgium",21521,"CD&V","Christen-Democratisch en Vlaams","Christian Democratic and Flemish",1968,2019,0,26.191999,
21,"Belgium",21522,"cdH","Centre dÃ©mocrate humaniste","Humanist Democratic Centre",1968,2014,0,11.709,
21,"Belgium",21710,"PP","Parti Populaire","People's Party",2014,2014,0,1.5209472,
21,"Belgium",21911,"RW","Rassemblement Wallon","Walloon Rally",1968,1981,0,6.691,
21,"Belgium",21912,"FDF","Front DÃ©mocratique Francophones","Francophone Democratic Front of Francophones",1965,2014,0,4.5409999,
21,"Belgium",21913,"VU","De Volksunie","Peoplesâ€™ Union",1954,1995,0,11.112,
21,"Belgium",21914,"VB","Vlaams Blok","Flemish Bloc",1978,2003,0,11.68,
21,"Belgium",21915,"VU-ID21","De Volksunie â€“Integrale Democratie voor de 21ste Eeuw","Peopleâ€™s Union - Complete Democracy for the 21st century",1999,1999,0,5.5609999,
21,"Belgium",21916,"N-VA","Nieuw-Vlaamse Alliantie","New Flemish Alliance",2003,2019,0,20.259001,
21,"Belgium",21917,"VB","Vlaams Belang","Flemish Interest",2007,2019,0,11.99,
22,"Netherlands",22110,"GL","GroenLinks","Green Left",1989,2017,0,9.125,
22,"Netherlands",22210,"CPN","Communistische Partij van Nederland","Communist Party of the Netherlands",1946,1982,0,10.6,
22,"Netherlands",22220,"SP","Socialistische Partij","Socialist Party",1994,2017,0,16.575001,
22,"Netherlands",22230,"PSP","Pacifistisch-Socialistische Partij","Pacifist Socialist Party",1986,1986,0,1.2,
22,"Netherlands",22310,"PPR","Politieke Partij Radicalen","Radical Political Party",1971,1986,0,4.7989998,
22,"Netherlands",22320,"PvdA","Partij van de Arbeid","Labour Party",1946,2017,0,33.828999,
22,"Netherlands",22321,"DENK","DENK","DENK",2017,2017,0,2.0550001,
22,"Netherlands",22330,"Dâ€™66","Democratenâ€˜66","Democratsâ€˜66",1967,2017,0,15.49,
22,"Netherlands",22420,"VVD","Volkspartij voor Vrijheid en Democratie","Peopleâ€™s Party for Freedom and Democracy",1946,2017,0,26.58,
22,"Netherlands",22430,"LN","Leefbaar Nederland","Livable Netherlands",2002,2003,0,1.61,
22,"Netherlands",22521,"CDA","Christen-Democratisch AppÃ¨l","Christian Democratic Appeal",1977,2017,0,35.313,
22,"Netherlands",22522,"KVP","Katholieke Volkspartij","Catholic Peopleâ€™s Party",1946,1972,0,31.882,
22,"Netherlands",22523,"ARP","Anti-Revolutionaire Partij","Anti-Revolutionary Party",1946,1972,0,13.209,
22,"Netherlands",22524,"DSâ€˜70","Democratisch Socialistenâ€˜70","Democratic Socialistsâ€˜70",1971,1977,0,5.329,
22,"Netherlands",22525,"CHU","Christelijk-Historische Unie","Christian Historical Union",1946,1972,0,9.1879997,
22,"Netherlands",22526,"CU","ChristenUnie","Christian Union",2002,2017,0,3.974,
22,"Netherlands",22527,"GPV","Gereformeerd Politiek Verbond","Reformed Political League",1982,1998,0,1.3,
22,"Netherlands",22528,"RPF","Reformatorische Politieke Federatie","Reformatory Political Federation",1981,1998,0,2.0280001,
22,"Netherlands",22710,"","Centrumpartij","Centre Party",1982,1982,0,.83099997,
22,"Netherlands",22711,"","Centrumdemocraten","Centre Democrats",1989,1994,0,2.5,
22,"Netherlands",22720,"LPF","Lijst Pim Fortuyn","List Pim Fortuyn",2002,2003,0,17,
22,"Netherlands",22722,"PVV","Partij voor de Vrijheid","Party of Freedom",2006,2017,0,15.45,
22,"Netherlands",22730,"FvD","Forum voor Democratie","Forum for Democracy",2017,2017,0,1.78,
22,"Netherlands",22951,"PvdD","Partij voor de Dieren","Party for the Animals",2006,2017,0,3.188,
22,"Netherlands",22952,"SGP","Staatskundig Gereformeerde Partij","Reformed Political Party",1946,2017,0,2.3710001,
22,"Netherlands",22953,"50PLUS","50Plus","50Plus",2012,2017,0,3.1110001,
22,"Netherlands",22954,"AOV","Algemeen Ouderenverbond","General Elderly Alliance",1994,1994,0,3.5999999,
22,"Netherlands",22955,"Unie 55+","Unie 55+","Union 55+",1994,1994,0,.89999998,
23,"Luxembourg",23111,"GLEI","GrÃ©ng LÃ«scht Ekologesch Initiativ/Liste Verte, Initiative Ã‰cologiste","Green Left Ecological Initiative",1989,1989,0,3.7,
23,"Luxembourg",23112,"GAP","DÃ©i GrÃ©ng Alternativ/Parti de l'Alternative Verte","Green Alternative",1984,1989,0,4.1999998,
23,"Luxembourg",23113,"","DÃ©i GrÃ©ng/Les Verts","The Greens",1994,2013,0,11.704,
23,"Luxembourg",23220,"KPL/PCL","Kommunistesch Partei vu LÃ«tzebuerg/Parti Communiste Luxembourgeois","Communist Party of Luxembourg",1945,1989,0,14.3,
23,"Luxembourg",23230,"","DÃ©i LÃ©nk/La Gauche","The Left",2009,2013,0,4.9369998,
23,"Luxembourg",23320,"LSAP/POSL","LÃ«tzebuerger Sozialistesch Arbechterpartei/Parti Ouvrier Socialiste Luxembourgeois","Socialist Workersâ€™ Party of Luxembourg",1945,2013,0,37.799999,
23,"Luxembourg",23420,"DP/PD","Demokratesch Partei/Parti DÃ©mocratique","Democratic Party",1945,2013,0,23.299999,
23,"Luxembourg",23520,"CSV/PCS","ChrÃ«schtlech Sozial Vollekspartei/Parti ChrÃ©tien Social","Christian Social Peopleâ€™s Party",1945,2013,0,45.200001,
23,"Luxembourg",23951,"ADR","Alternativ Demokratesch Reformpartei/Parti RÃ©formiste d'Alternative DÃ©mocratique","Alternative Democatic Reform Party",1989,2013,0,10.4,
31,"France",31021,"FDG","Front de Gauche","Left Front",2012,2012,1,6.9089999,
31,"France",31110,"EÃ‰LV","Europe Ã‰cologie Les Verts","Europe Ecology - The Greens",1993,2017,0,7.8400002,
31,"France",31111,"GE","Generation Ã‰cologie","Ecology Generation",1997,1997,0,2.674,
31,"France",31220,"PCF","Parti Communiste FranÃ§ais","French Communist Party",1946,2017,0,28.584999,
31,"France",31230,"PRG","Parti Radical de Gauche","Left Radical Party",2012,2017,0,1.653,
31,"France",31240,"","La France insoumise","Indomitable France",2017,2017,0,11.025,
31,"France",31320,"PS","Parti Socialiste","Socialist Party",1946,2017,0,36.57,
31,"France",31421,"PR","Parti Radical","Radical Party",1946,2012,0,15.018,
31,"France",31425,"","Renaissance","Renaissance",2017,2017,0,28.212,
31,"France",31430,"UDI","Union des dÃ©mocrates et indÃ©pendants","Union of Democrats and Independents",2017,2017,0,3.0339999,
31,"France",31521,"MRP","Mouvement RÃ©publicain Populaire","Popular Republican Movement",1946,1962,0,26.341,
31,"France",31522,"PDM","Groupe ProgrÃ¨s et DÃ©mocratie Moderne","Progress and Modern Democracy",1967,1968,0,14.093,
31,"France",31523,"CDP","Centre DÃ©mocratie et ProgrÃ©s","Centre, Democracy and Progress",1973,1973,0,3.8499999,
31,"France",31529,"MR","Mouvement RÃ©formateur","Reformersâ€™ Movement",1973,1973,0,13.3,
31,"France",31621,"UDR","Union des DÃ©mocrates pour la RÃ©publique - Gaullists","Union of Democrats for the Republic - Gaullists",1946,1988,0,38.028999,
31,"France",31622,"","Union de la Nouvelle Majorite - Conservatives/Gaullists","Union for a New Majority - Conservatives/Gaullists",1946,1988,0,19.964001,
31,"France",31623,"UDCA","Union de Defense Commercants et Artisans - Poujadists","Union for the Defence of Traders and Artisans - Poujadists",1956,1956,0,11.558,
31,"France",31624,"MoDem","Mouvement DÃ©mocrate","Democratic Movement",1978,2017,0,22.017,
31,"France",31625,"RPR","Rassemblement pour la RÃ©publique","Rally for the Republic",1993,1997,0,20.24,
31,"France",31626,"UMP","Union pour un Mouvement Populaire","Union for a Popular Movement",2002,2017,1,39.540001,
31,"France",31630,"NC","Nouveau Centre","New Centre",2012,2012,0,2.1960001,
31,"France",31631,"AC","Alliance Centriste","Centrist Alliance",2012,2012,0,.60100001,
31,"France",31720,"FN","Front National","National Front",1986,2017,0,14.932,
32,"Italy",32021,"RC","Rivoluzione Civile","Civil Revolution",2013,2013,1,2.25,
32,"Italy",32022,"I","Italia Europa Insieme","Italy Europe Together",2018,2018,1,.56,
32,"Italy",32031,"LeU","Liberi e Uguali","Free and Equal",2018,2018,1,3.4660001,
32,"Italy",32051,"CP","Civica Popolare","Popular Civic List",2018,2018,1,.61799997,
32,"Italy",32055,"NcL","Noi con l'Italia","Us with Italy",2018,2018,1,1.2920001,
32,"Italy",32061,"PdL","Il Popolo della LibertÃ ","People of Freedom",2008,2013,1,37.216999,
32,"Italy",32090,"SVP-PATT","Coalizione SÃ¼dtiroler Volkspartei e Partito Autonomista Trentino Tirolese","Coalition of South Tyrolean Peopleâ€™s Party and Trentino Tyrolean Autonomist Party",2018,2018,1,.396,
32,"Italy",32110,"FdV","Federazione dei Verdi","Green Federation",1987,2006,0,2.7869999,
32,"Italy",32111,"","Il Girasole","The Girasole (â€˜Sunflower')",2001,2001,1,2.1700001,
32,"Italy",32210,"PdUP","Partito di UnitÃ  Proletaria per il Comunismo (Il Manifesto + Partito di UnitÃ  Proletaria)","Proletarian Unity Party for Communism (The Manifesto + Proletarian Unity Party)",1976,1983,0,1.372,
32,"Italy",32211,"DP","Democrazia Proletaria","Proletarian Democracy",1983,1987,0,1.664,
32,"Italy",32212,"PRC","Partito della Rifondazione Comunista","Communist Refoundation Party",1992,2006,0,8.5760002,
32,"Italy",32213,"PdCI","Partito dei Comunisti Italiani","Party of Italian Communists",2001,2006,0,2.319,
32,"Italy",32220,"PDS","Partito Democratico della Sinistra","Democratic Party of the Left",1946,2001,0,34.372002,
32,"Italy",32221,"RnP","Rosa nel Pugno","Rose in the Fist",2006,2006,1,2.5969999,
32,"Italy",32230,"SEL","Sinistra Ecologia LibertÃ ","Left Ecology Freedom",2013,2013,0,3.204,
32,"Italy",32310,"","Lista Pannella-Sgarbi","Pannella-Sgarbi List",1976,1996,0,3.513,
32,"Italy",32320,"PSI","Partito Socialista Italiano","Italian Socialist Party",1946,1994,0,20.705,
32,"Italy",32321,"RI","Rinnovamento Italiano","Italian Renewal",1996,1996,0,4.3390002,
32,"Italy",32322,"PSI-PSDI","Partito Socialista Italiano-Partito Socialista Democratico Italiano Unificati","Unified Italian Socialist Party-Italian Democratic Socialist Party",1968,1968,0,14.482,
32,"Italy",32329,"","L'Ulivo","Olive Tree",2001,2006,1,31.264999,
32,"Italy",32330,"PSDI","Partito Socialista Democratico Italiano","Italian Democratic Socialist Party",1948,1992,0,7.0739999,
32,"Italy",32410,"PRI","Partito Repubblicano Italiano","Italian Republican Party",1946,1992,0,5.0799999,
32,"Italy",32420,"PLI","Partito Liberale Italiano","Italian Liberal Party",1946,1992,0,6.9699998,
32,"Italy",32421,"M-DL","Margherita - Democrazia Ã¨ LibertÃ ","Daisy - Democracy is Freedom",2001,2001,0,14.51,
32,"Italy",32440,"PD","Partito Democratico","Democratic Party",2008,2018,0,33.162998,
32,"Italy",32450,"CD","Centro Democratico","Democratic Centre",2013,2013,0,.491,
32,"Italy",32451,"E","PiÃ¹ Europa","More Europe",2018,2018,0,2.6619999,
32,"Italy",32460,"SC","Scelta Civica","Civic Choice",2013,2013,0,8.3050003,
32,"Italy",32520,"PPI","Partito Popolare Italiano","Italian Popular Party",1946,1996,0,48.502998,
32,"Italy",32521,"CCD","Centro Cristiano Democratico","Christian Democratic Centre",1996,1996,0,,
32,"Italy",32522,"","Biancofiore","White Flower",2001,2001,1,3.22,
32,"Italy",32528,"PI","Patto per lâ€™Italia","Pact for Italy",1994,1994,0,15.713,
32,"Italy",32529,"AD","Alleanza Democratica","Democratic Alliance",1994,1996,0,5.8400002,
32,"Italy",32530,"UdC","Unione di Centro","Union of the Center",2006,2013,1,6.7620001,
32,"Italy",32610,"FI","Forza Italia","Go Italy",1994,2018,0,29.42,
32,"Italy",32611,"NPSI","Nuovo Partito Socialista Italiano","New Italian Socialist Party",2001,2006,0,.94999999,
32,"Italy",32629,"","Casa delle LibertÃ ","House of Freedom",2001,2006,1,,
32,"Italy",32630,"FDI","Fratelli d'Italia","Brothers of Italy",2013,2018,0,4.2010002,
32,"Italy",32640,"3L","Lista Lavoro e LibertÃ ","Labour and Freedom List",2013,2013,0,.227,
32,"Italy",32710,"MSI-DN","Movimento Sociale Italiano-Destra Nazionale","Italian Social Movement-National Right",1948,2006,0,15.667,
32,"Italy",32720,"L","Lega","League",1992,2018,0,17.488001,
32,"Italy",32901,"DE","Democrazia Europea","European Democracy",2001,2001,0,2.4000001,
32,"Italy",32902,"IdV","Lista di Pietro - Italia del Valori","List Di Pietro - Italy of Values",2001,2008,0,4.3639998,
32,"Italy",32903,"ALD","Autonomie LibertÃ© DÃ©mocratie (Valle dâ€™Aosta)","Autonomy Liberty Democracy (Aosta Valley)",2006,2006,0,,
32,"Italy",32904,"SVP","SÃ¼dtiroler Volkspartei","South Tyrolean Peopleâ€™s Party",2006,2013,0,.47799999,
32,"Italy",32906,"","VallÃ©e d'Aoste - Autonomie PrÃ²gres FÃ©dÃ©ralisme","Autonomy Progress Federalism Aosta Valley",2013,2013,1,.050000001,
32,"Italy",32951,"LR","La Rete/Movimento per la Democrazia","The Network/Movement for Democracy",1992,1994,0,1.8609999,
32,"Italy",32952,"InM","Italiani nel Mondo","Italy in the World",2006,2006,0,,
32,"Italy",32953,"P-UDEUR","Popolari Unione Democratica per l'Europa","Popular Democratic Union for Europe",2006,2006,0,1.401,
32,"Italy",32955,"","Lâ€™Unione-Prodi","The Union â€“ Prodi",2006,2006,1,,
32,"Italy",32956,"M5S","MoVimento 5 Stelle","Five Star Movement",2013,2018,0,32.165001,
33,"Spain",33020,"UP","Unidad Popular","Popular Unity",2015,2015,1,3.6760001,
33,"Spain",33025,"","Unidas Podemos","United We Can",2016,2016,1,13.416,
33,"Spain",33091,"","Geroa Bai","Future Yes",2011,2011,1,.177,
33,"Spain",33092,"","Amaiur","Amaiur",2011,2011,1,1.39,
33,"Spain",33093,"","CompromÃ­s-Q","Commitment-Q",2011,2011,1,.523,
33,"Spain",33095,"EH Bildu","Euskal Herria Bildu","Basque Country Unite",2015,2019,1,1.155,
33,"Spain",33096,"","En ComÃº Podem","In Common We Can",2015,2016,1,3.688,
33,"Spain",33097,"","En marea","In Tide",2015,2016,1,1.6289999,
33,"Spain",33098,"CompromÃ­sâ€“Podemosâ€“EUPV","A la valencia","Valencian style",2015,2016,1,2.743,
33,"Spain",33099,"DL","DemocrÃ cia i Libertat","Democracy and Freedom",2015,2015,1,2.25,
33,"Spain",33210,"","Podemos","We can",2015,2019,0,12.6,
33,"Spain",33220,"IU","Izquierda Unida","United Left",1977,2019,0,10.797,
33,"Spain",33230,"","MÃ¡s PaÃ­s-Equo","More Country - Equo",2019,2019,1,1.692,
33,"Spain",33320,"PSOE","Partido Socialista Obrero EspaÃ±ol","Spanish Socialist Workersâ€™ Party",1977,2019,0,48.380001,
33,"Spain",33420,"C's","Ciudadanos - Partido de la Ciudadania","Citizens - Party of the Citizens",2015,2019,0,15.98,
33,"Spain",33430,"UCD","UniÃ³n de Centro DemocrÃ¡tico","Union of the Democratic Centre/Centrist Bloc",1977,1982,0,35.047001,
33,"Spain",33438,"PDP","Partido DemÃ³crata Popular","Popular Democratic Party",1982,1986,0,6,
33,"Spain",33439,"PL","Partido Liberal","Liberal Party",1986,1986,0,2.74,
33,"Spain",33440,"UPyD","UniÃ³n, Progreso y Democracia","Union, Progress and Democracy",2011,2011,0,4.7600002,
33,"Spain",33512,"CDS","Centro DemocrÃ¡tico y Social","Centre Democrats",1982,1993,0,9.1599998,
33,"Spain",33610,"PP","Partido Popular","People's Party",1977,2019,0,45.240002,
33,"Spain",33611,"CiU","ConvergÃ¨ncia i UniÃ³","Convergence and Union",1979,2011,1,5.072,
33,"Spain",33612,"FAC","Foro Asturias","Forum Asturias",2011,2011,0,.414,
33,"Spain",33710,"VOX","Vox","Voice",2019,2019,0,15.211,
33,"Spain",33901,"EE","Euskadiko Ezkerra","Basque Left",1977,1989,0,.53299999,
33,"Spain",33902,"PNV/EAJ","Partido Nacionalista Vasco/Euzko Alderdi Jeltzalea","Basque Nationalist Party",1977,2019,0,1.89,
33,"Spain",33903,"EA","Eusko Alkartasuna","Basque Solidarity",1989,2008,0,.67299998,
33,"Spain",33904,"PAR","Partido AragonÃ©s","Aragonese Party",1977,2000,0,.62,
33,"Spain",33905,"ERC","Esquerra Republicana de Catalunya","Catalan Republican Left",1977,2019,0,3.9219999,
33,"Spain",33906,"PA","Partido Andalucista","Andalusian Party",1977,2004,0,1.8099999,
33,"Spain",33907,"CCa-PNC-NC","CoaliciÃ³n Canaria - Nueva Canarias","Canarian Coalitionâ€“New Canaries",1993,2019,0,1.071,
33,"Spain",33908,"BNG","Bloque Nacionalista Galego","Galician Nationalist Bloc",1996,2019,0,1.321,
33,"Spain",33909,"CHA","Chunta Aragonesista","Aragonist Council",2004,2008,0,.36399999,
33,"Spain",33910,"UPN","UniÃ³n del Pueblo Navarro","Navarrese People's Union",2004,2008,0,.56999999,
33,"Spain",33911,"CDC","ConvergÃ¨ncia DemocrÃ tica de Catalunya","Democratic Convergence of Catalonia",2016,2016,0,2.01,
33,"Spain",33912,"JxCat","Junts per Catalunya","Together for Catalonia",2019,2019,0,2.2060001,
33,"Spain",33913,"PRC","Partido Regionalista de Cantabria","Regionalist Party of Cantabria",2019,2019,0,.20200001,
33,"Spain",33914,"","MÃ©s CompromÃ­s","More Commitment",2019,2019,0,.73000002,
33,"Spain",33915,"CUP","Cadidatura d'Unitat Popular","Popular Unity Candidacy",2019,2019,0,1.027,
33,"Spain",33916,"","Â¡Teruel Existe!","Teruel exists",2019,2019,0,.082000002,
