country,cmp_party_code,cmp_party_code_name
netherlands,22522,nld: Catholic People’s Party
netherlands,22521,nld: Christian Democratic Appeal
netherlands,22525,nld: Christian Historical Union
netherlands,22526,nld: Christian Union
netherlands,22524,nld: Democratic Socialists‘70
netherlands,22330,nld: Democrats‘66
netherlands,22110,nld: Green Left
netherlands,22320,nld: Labour Party
netherlands,22720,nld: List Pim Fortuyn
netherlands,22430,nld: Livable Netherlands
netherlands,22951,nld: Party for the Animals
netherlands,22722,nld: Party of Freedom
netherlands,22420,nld: People’s Party for Freedom and Democracy
netherlands,22310,nld: Radical Political Party
netherlands,22952,nld: Reformed Political Party
netherlands,22220,nld: Socialist Party
norway,12810,nor: Centre Party
norway,12520,nor: Christian People’s Party
norway,12620,nor: Conservative Party
norway,12420,nor: Liberal Party
norway,12410,nor: Liberal People’s Party
norway,12220,nor: Norwegian Communist Party
norway,12320,nor: Norwegian Labour Party
norway,12951,nor: Progress Party
norway,12221,nor: Socialist Left Party
portugal,35316,prt: Association of Independent Social Democrats
portugal,35315,prt: Democratic Intervention
portugal,35312,prt: Democratic Renewal Party
portugal,35110,prt: Ecologist Party ‘The Greens'
portugal,35211,prt: Left Bloc
portugal,35317,prt: Leftwing Union for the Socialist Democracy
portugal,35951,prt: National Solidarity Party
portugal,35310,prt: Popular Democratic Movement
portugal,35210,prt: Popular Democratic Union
portugal,35710,prt: Popular Monarchist Party
portugal,35220,prt: Portuguese Communist Party
portugal,35520,prt: Social Democratic Center-Popular Party
portugal,35313,prt: Social Democratic Party
portugal,35311,prt: Socialist Party
portugal,35229,prt: Unified Democratic Coalition
spain,33092,esp: Amaiur
spain,33906,esp: Andalusian Party
spain,33904,esp: Aragonese Party
spain,33909,esp: Aragonist Council
spain,33901,esp: Basque Left
spain,33902,esp: Basque Nationalist Party
spain,33903,esp: Basque Solidarity
spain,33907,esp: Canarian Coalition
spain,33905,esp: Catalan Republican Left
spain,33512,esp: Centre Democrats
spain,33093,esp: Commitment-Q
spain,33611,esp: Convergence and Union
spain,33612,esp: Forum Asturias
spain,33091,esp: Future Yes
spain,33908,esp: Galician Nationalist Bloc
spain,33439,esp: Liberal Party
spain,33910,esp: Navarrese People's Union
spain,33438,esp: Popular Democratic Party
spain,33610,esp: Popular Party
spain,33320,esp: Spanish Socialist Workers’ Party
spain,33430,esp: Union of the Democratic Centre/Centrist Bloc
spain,33440,"esp: Union, Progress and Democracy"
spain,33220,esp: United Left
sweden,11810,swe: Centre Party
sweden,11520,swe: Christian Democratic Community Party
sweden,11110,swe: Green Ecology Party
sweden,11220,swe: Left Communists Party
sweden,11420,swe: Liberal People’s Party
sweden,11620,swe: Moderate Coalition Party
sweden,11951,swe: New Democracy
sweden,11320,swe: Social Democratic Labour Party
sweden,11710,swe: Sweden Democrats
switzerland,43520,che: Christian Democratic People’s Party of Switzerland
switzerland,43540,che: Christian Social Party
switzerland,43811,che: Conservative Democratic Party of Switzerland
switzerland,43711,che: Federal Democratic Union
switzerland,43110,che: Federation of Green Parties
switzerland,43951,che: Freedom Party of Switzerland
switzerland,43902,che: Geneva Citizens' Movement
switzerland,43120,che: Green Liberal Party
switzerland,43321,che: Independents’ Alliance
switzerland,43531,che: Liberal Party of Switzerland
switzerland,43710,che: National Action for People and Fatherland
switzerland,43530,che: Protestant People’s Party of Switzerland
switzerland,43420,che: Radical Democratic Party
switzerland,43320,che: Social Democratic Party of Switzerland
switzerland,43220,che: Swiss Labour Party
switzerland,43810,che: Swiss People’s Party
switzerland,43901,che: Ticino League
